PROCESSING_DATE_TIME|PROCESSING_WINDOW|MESSAGE_ID|TRANSACTION_TYPE|TCIBTXID|TRANSACTION_ID|END_TO_END_TRANSACTION_ID|RESPONSE_CODE|RESPONSE_MESSAGE|SOURCE_COUNTRY_CODE|PAYMENT_COUNTRY_CODE|PAYMENT_CURRENCY_CODE|TOTAL_PAYMENT_AMOUNT|SENDER_NAME|RECEIVER_NAME|SENDER_AGENT_SPID|RECEIVER_AGENT_SPID|SENDER_ACCOUNT|RECEIVER_ACCOUNT|REPORTING_CODE|RECEIVER_MESSAGE|CREATED_DATE|MIS_DATE|SENDER_SUSPENSE_ACCOUNT_FLAG|RECEIVER_SUSPENSE_ACCOUNT_FLAG|KNOWN_FRAUD_FLAG|FROM_FILENAME|MODIFIED_DATE|CREATED_BY|MODIFIED_BY|FILE_ID
2022/01/01 15:30:20.000000|1|8a0e3a509d804dd7b1c79a6b4176d314|PAY|8a0e3a509d804dd7b1c79a6b4176d314|8a0e3a509d804dd7b1c79a6b4176d314|8a0e3a509d804dd7b1c79a6b4176d314|3000|Remit Success|MZ|ZW|ZAR|6400|NAME SURNAME  000092|NAME SURNAME  008147|130001|290001|MZE8B1546A700B47B85872|ZW57E24EB244B33A9942D8|10402||2022/01/01 15:30:20.000000|2022/01/01|N  |N  ||||TCIBAPP||1
2022/01/01 15:45:35.000000|1|a0093a97c68542178f2a1562eb87d887|PAY|a0093a97c68542178f2a1562eb87d887|a0093a97c68542178f2a1562eb87d887|a0093a97c68542178f2a1562eb87d887|3000|Remit Success|ZW|MZ|ZAR|10000|NAME SURNAME  012511|NAME SURNAME  012647|290001|130001|ZW0400ADE42A649A245016|MZED2F8734649B299CCAC7|10402||2022/01/01 15:45:35.000000|2022/01/01|N  |N  ||||TCIBAPP||1
2022/01/01 15:52:48.000000|1|8a02d0aed4a54e228c34f45a72950ce3|PAY|8a02d0aed4a54e228c34f45a72950ce3|8a02d0aed4a54e228c34f45a72950ce3|8a02d0aed4a54e228c34f45a72950ce3|3000|Remit Success|ZW|MZ|ZAR|7000|NAME SURNAME  008767|NAME SURNAME  005128|290001|130001|ZW0D547A0E6A50EECB3257|MZ7104BEB2744E8BFD9B59|10402||2022/01/01 15:52:48.000000|2022/01/01|N  |Y  ||||TCIBAPP||1
2022/01/01 16:55:18.000000|1|8a62d2552e90472cb9f57a286adaee6e|PAY|8a62d2552e90472cb9f57a286adaee6e|8a62d2552e90472cb9f57a286adaee6e|8a62d2552e90472cb9f57a286adaee6e|3000|Remit Success|NA|TZ|ZAR|2110|NAME SURNAME  001355|NAME SURNAME  006138|310001|170001|NA810C2B477B0219098A34|TZ0C92DE162AB5CF0D41DD|10402||2022/01/01 16:55:18.000000|2022/01/01|N  |N  ||||TCIBAPP||1
2022/01/01 17:24:26.000000|1|c3f3380002ea4054bc660a0d0890eae2|PAY|c3f3380002ea4054bc660a0d0890eae2|c3f3380002ea4054bc660a0d0890eae2|c3f3380002ea4054bc660a0d0890eae2|3000|Remit Success|TZ|MZ|ZAR|35000|NAME SURNAME  009811|NAME SURNAME  005662|170001|130001|TZ4512D9BE8A62F1069C08|MZEAEFDF01EE92389E4745|10402||2022/01/01 17:24:26.000000|2022/01/01|N  |N  ||||TCIBAPP||1
2022/01/01 18:20:05.000000|1|dbb36d0ab15342098213b56004224d7e|PAY|dbb36d0ab15342098213b56004224d7e|dbb36d0ab15342098213b56004224d7e|dbb36d0ab15342098213b56004224d7e|3000|Remit Success|ZW|MZ|ZAR|1720|NAME SURNAME  008767|NAME SURNAME  005533|290001|130001|ZW0D547A0E6A50EECB3257|MZ5FD670048D8301588568|10402||2022/01/01 18:20:05.000000|2022/01/01|N  |N  ||||TCIBAPP||1
2022/01/01 18:26:40.000000|1|fdaf038d265e460890715dd199875fc4|PAY|fdaf038d265e460890715dd199875fc4|fdaf038d265e460890715dd199875fc4|fdaf038d265e460890715dd199875fc4|3000|Remit Success|ZA|MZ|ZAR|6450|NAME SURNAME  004440|NAME SURNAME  012643|210001|130001|ZA79076A66CDA4FD1F9095|MZ9B16ED47E9486DA82308|10402||2022/01/01 18:26:40.000000|2022/01/01|N  |N  |Y|||TCIBAPP||1
2022/01/01 18:47:22.000000|1|a7e69b818e9744e18a8ef47ac0b0db89|PAY|a7e69b818e9744e18a8ef47ac0b0db89|a7e69b818e9744e18a8ef47ac0b0db89|a7e69b818e9744e18a8ef47ac0b0db89|3000|Remit Success|MZ|ZA|ZAR|100|NAME SURNAME  005292|NAME SURNAME  003026|130001|210001|MZ8BD52382A625E01ACE78|ZA471EA885F01461E6A161|10402||2022/01/01 18:47:22.000000|2022/01/01|Y  |N  ||||TCIBAPP||1
2022/01/01 18:49:34.000000|1|66c62db484d34f4483a5c69eff593682|PAY|66c62db484d34f4483a5c69eff593682|66c62db484d34f4483a5c69eff593682|66c62db484d34f4483a5c69eff593682|3000|Remit Success|ZW|ZA|ZAR|4000|NAME SURNAME  007868|NAME SURNAME  010543|290001|210001|ZW2E9689D74D991E3F734F|ZA097115999231215FFF9A|10402||2022/01/01 18:49:34.000000|2022/01/01|N  |N  ||||TCIBAPP||1
2022/01/01 18:51:28.000000|1|e42a0557351345b5bad93f4836772588|PAY|e42a0557351345b5bad93f4836772588|e42a0557351345b5bad93f4836772588|e42a0557351345b5bad93f4836772588|3000|Remit Success|TZ|ZW|ZAR|800|NAME SURNAME  000114|NAME SURNAME  007325|170001|290001|TZA31D0BBD75D9BA134263|ZW826DB563F3EF63A1F379|10402||2022/01/01 18:51:28.000000|2022/01/01|N  |N  ||||TCIBAPP||1
